"PGID_","SMILES","Bandgap","Dielectric.Constant","Ionic.Dielectric.Constant","Electronic.Dielectric.Constant","Refractive.Index","Atomization.Energy","Breakdown.Field","Density","Ionization.Energy","Electron.Affinity","Cohesive.Energy","Dielectric.Loss","Melting.Temperature","Glass.Transition.Temperature","Onset.of.Degradation.Temperature","Hildebrand.Solubility.Parameter","Energy.Density","State","Molecular.Weight","Entanglement.Molecular.Weight","Molar.Heat.Capacity","Molar.Volume"
10441,"C([*])C([*])(c1ccccc1C(=O)OCC)",4.26,3.5,NA,NA,1.77,-5.85,NA,1.14,6.66,1.82,NA,NA,NA,362,NA,19.82,NA,NA,NA,NA,NA,NA
10442,"C([*])C([*])(c1ccc(C(=O)OCC)cc1)",4.25,3.5,NA,NA,1.77,-5.85,NA,1.14,6.71,1.82,NA,NA,NA,366,NA,19.82,NA,NA,NA,NA,NA,NA
10443,"C([*])C([*])(c1ccccc1COCC)",4.54,3.24,NA,NA,1.73,-5.64,NA,1.03,6.17,1.19,NA,NA,NA,328,NA,19.16,NA,NA,NA,NA,NA,NA
10444,"C([*])C([*])(c1ccc(OCC)cc1)",4.51,3.26,NA,NA,1.74,-5.71,NA,1.05,5.75,1.05,NA,NA,NA,350,NA,19.48,NA,NA,NA,NA,NA,NA
10445,"C([*])C([*])(c1ccccc1CC)",4.47,3.17,NA,NA,1.74,-5.71,NA,0.99,5.78,1.24,NA,NA,NA,341,NA,18.22,NA,NA,NA,NA,NA,NA
10446,"C([*])C([*])(c1cccc(CC)c1)",4.48,3.17,NA,NA,1.74,-5.71,NA,0.99,5.78,1.24,NA,NA,NA,340,NA,18.22,NA,NA,NA,NA,NA,NA
10447,"C([*])C([*])(c1ccc(CC)cc1)",4.48,3.17,NA,NA,1.74,-5.71,NA,0.99,5.78,1.24,NA,NA,NA,340,NA,18.22,NA,NA,NA,NA,NA,NA
10448,"C([*])C([*])(c1cc(C)ccc1F)",5.1,3.2,NA,NA,1.75,-5.7,NA,1.03,5.78,1.25,NA,NA,NA,392,NA,18.03,NA,NA,NA,NA,NA,NA
10449,"C([*])C([*])(c1ccc(CCCCCCCCCCCCCCCC)cc1)",6.11,2.96,NA,NA,1.67,-5.33,NA,0.91,6.61,0.68,NA,NA,NA,261,NA,17.23,NA,NA,NA,NA,NA,NA
10450,"C([*])C([*])(c1ccc(C(=O)CCCCC)cc1)",4.22,3.3,NA,NA,1.74,-5.66,NA,1.03,6.56,1.54,NA,NA,NA,331,NA,19.36,NA,NA,NA,NA,NA,NA
10451,"C([*])C([*])(c1ccccc1C(=O)OCCCCCC)",4.68,3.29,NA,NA,1.73,-5.63,NA,1.06,6.64,1.38,NA,NA,NA,310,NA,18.83,NA,NA,NA,NA,NA,NA
10452,"C([*])C([*])(c1ccc(C(=O)OCCCCCC)cc1)",4.68,3.29,NA,NA,1.73,-5.63,NA,1.06,6.67,1.38,NA,NA,NA,309,NA,18.83,NA,NA,NA,NA,NA,NA
10453,"C([*])C([*])(c1ccc(COCCCCC)cc1)",4.81,3.15,NA,NA,1.71,-5.52,NA,0.99,6.32,1.01,NA,NA,NA,288,NA,18.54,NA,NA,NA,NA,NA,NA
10454,"C([*])C([*])(c1ccc(CCCCCC)cc1)",4.84,3.07,NA,NA,1.71,-5.52,NA,0.95,6.16,1.02,NA,NA,NA,289,NA,17.72,NA,NA,NA,NA,NA,NA
10455,"C([*])C([*])(c1ccc(COCCCCO)cc1)",4.69,3.27,NA,NA,1.71,-5.55,NA,1.06,6.31,1.18,NA,NA,NA,312,NA,20.73,NA,NA,NA,NA,NA,NA
10456,"C([*])C([*])(c1ccc(COCC(O)CC)cc1)",4.79,3.23,NA,NA,1.71,-5.56,NA,1.06,6.37,1.22,NA,NA,NA,337,NA,20.61,NA,NA,NA,NA,NA,NA
10457,"C([*])C([*])(c1ccc(C(C)(O)CCC)cc1)",4.87,3.11,NA,NA,1.71,-5.56,NA,1.01,6.3,1.15,NA,NA,NA,398,NA,19.22,NA,NA,NA,NA,NA,NA
10458,"C([*])C([*])(c1ccc(C(C)(C)O)cc1)",4.71,3.17,NA,NA,1.73,-5.65,NA,1.04,6.22,1.29,NA,NA,NA,438,NA,19.81,NA,NA,NA,NA,NA,NA
10459,"C([*])C([*])(c1ccc(C(C)(O)CCCC)cc1)",4.93,3.1,NA,NA,1.71,-5.53,NA,1,6.35,1.09,NA,NA,NA,379,NA,19.01,NA,NA,NA,NA,NA,NA
10460,"C([*])C([*])(c1ccc(C(C)(O)CC)cc1)",4.79,3.14,NA,NA,1.72,-5.6,NA,1.03,6.25,1.21,NA,NA,NA,418,NA,19.48,NA,NA,NA,NA,NA,NA
10461,"C([*])C([*])(c1ccccc1CO)",4.58,3.37,NA,NA,1.75,-5.78,NA,1.09,6.1,1.53,NA,NA,NA,393,NA,21.2,NA,NA,NA,NA,NA,NA
10462,"C([*])C([*])(c1cccc(CO)c1)",4.6,3.37,NA,NA,1.75,-5.78,NA,1.09,6.1,1.53,NA,NA,NA,392,NA,21.2,NA,NA,NA,NA,NA,NA
10463,"C([*])C([*])(c1ccc(CO)cc1)",4.6,3.37,NA,NA,1.75,-5.78,NA,1.09,6.1,1.53,NA,NA,NA,392,NA,21.2,NA,NA,NA,NA,NA,NA
10464,"C([*])C([*])(c2ccc(C(O)CN1CCOCC1)cc2)",4.83,3.25,NA,NA,1.69,-5.66,NA,1.08,6.01,1.26,NA,NA,NA,352,NA,21.64,NA,NA,NA,NA,NA,NA
10465,"C([*])C([*])(c2ccc(C(O)CN1CCCCC1)cc2)",5.01,3.17,NA,NA,1.68,-5.62,NA,1.03,6.19,1.12,NA,NA,NA,371,NA,20.51,NA,NA,NA,NA,NA,NA
10466,"C([*])C([*])(c1ccccc1C(=O)OCC(C)C)",4.65,3.35,NA,NA,1.75,-5.71,NA,1.09,6.43,1.58,NA,NA,NA,356,NA,19.12,NA,NA,NA,NA,NA,NA
10467,"C([*])C([*])(c1ccc(C(=O)OCC(C)C)cc1)",4.64,3.35,NA,NA,1.75,-5.71,NA,1.09,6.46,1.58,NA,NA,NA,356,NA,19.12,NA,NA,NA,NA,NA,NA
10468,"C([*])C([*])(c1ccccc1C(=O)OCCC(C)C)",4.71,3.3,NA,NA,1.74,-5.66,NA,1.07,6.48,1.48,NA,NA,NA,344,NA,18.9,NA,NA,NA,NA,NA,NA
20004,"*N(C(=O)C1=C2)C(=O)C1=CC=C2C(=O)C(=CC=C3C4(=O))C=C3C(=O)N4CCC*",2.42,4.55,NA,NA,1.94,-6.48,NA,1.38,7.74,3.1,NA,0,544,424,623,28.15,NA,NA,NA,NA,NA,NA
20006,"*N(C1(=O))C(=O)C(=C2)C1=CC(C3(=O))=C2C(=O)N3C(C)COCC(C)*",3.56,4.06,NA,NA,1.84,-6.29,NA,1.32,6.05,2.12,NA,0.01,NA,337,606,24.28,NA,NA,NA,NA,NA,NA
20007,"*N(C1(=O))C(=O)C(=C2)C1=CC(C3(=O))=C2C(=O)N3C(C)COCCOCCOC(C)COCC(C)*",4.3,3.59,NA,NA,1.71,-5.88,NA,1.23,6.01,1.49,NA,0.01,NA,328,586,23.6,NA,NA,NA,NA,NA,NA
20008,"*N(C(=O)C1=C2)C(=O)C1=CC=C2C(=O)C(=CC=C3C4(=O))C=C3C(=O)N4C(C)COC(C)*",2.76,4.29,NA,NA,1.9,-6.3,NA,1.34,7.66,2.92,NA,0,NA,382,598,27.96,NA,NA,NA,NA,NA,NA
20010,"*N(C(=O)C1=C2)C(=O)C1=CC=C2OC(=CC=C3C4(=O))C=C3C(=O)N4C(C)COC(C)*",3.57,4.04,NA,NA,1.84,-6.25,NA,1.33,7.26,2.51,NA,0,NA,360,627,28.07,NA,NA,NA,NA,NA,NA
20011,"*N(C(=O)C1=C2)C(=O)C1=CC=C2OC(=CC=C3C4(=O))C=C3C(=O)N4C(C)COCCOCCOC(C)COC(C)*",4.35,3.69,NA,NA,1.77,-5.9,NA,1.24,6.9,1.85,NA,0.01,NA,339,614,27.16,NA,NA,NA,NA,NA,NA
20012,"*N(C(=O)C1=C2)C(=O)C1=CC=C2C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3C4(=O))C=C3C(=O)N4C(C)COCCOCCOC(C)COC(C)*",4.49,3.62,NA,NA,1.75,-5.83,NA,1.33,7.14,1.96,NA,0.01,NA,356,597,25.56,NA,NA,NA,NA,NA,NA
20013,"*N(C(=O)C1=C2)C(=O)C1=CC=C2C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3C4(=O))C=C3C(=O)N4C(C)COC(C)*",3.88,3.86,NA,NA,1.8,-6.08,NA,1.43,7.58,2.67,NA,0.01,NA,365,556,25.72,NA,NA,NA,NA,NA,NA
20014,"*N(C1(=O))C(=O)C(=C2)C1=CC=C2OC(C=C3)=CC=C3C(C)(C)C(C=C4)=CC=C4OC(=C5)C=CC(C6(=O))=C5C(=O)N6C(C=C7)=CC=C7*",2.83,4.24,NA,NA,1.93,-6.4,497,1.29,6.42,2.36,NA,0,NA,480,NA,25.23,3,NA,NA,NA,NA,NA
20015,"*C(C=C1)=CC=C1OC(C=C2)=CC=C2C(=O)C(C=C3)=CC=C3O*",3.12,4.01,NA,NA,1.89,-6.37,322,1.25,6.15,1.87,NA,0,615,430,NA,22.55,1.4,NA,NA,NA,NA,NA
20017,"*CC(C)CC(C)*",7.44,2.8,NA,NA,1.65,-5.14,733,0.87,6.79,0.43,NA,NA,444,284,NA,16.56,5,NA,NA,NA,NA,NA
20018,"*N(C1(=O))C(=O)C(=C2)C1=CC(C3(=O))=C2C(=O)N3CCC*",3.14,4.67,NA,NA,2.01,-6.66,NA,1.42,6.28,2.52,NA,0,NA,326,531,24.33,NA,NA,NA,NA,NA,NA
20019,"*N(C1(=O))C(=O)C(=C2)C1=CC(C3(=O))=C2C(=O)N3C(C)COC(C)*",3.5,4.19,NA,NA,1.87,-6.39,NA,1.36,6.2,2.24,NA,0.01,NA,348,535,24.32,NA,NA,NA,NA,NA,NA
20020,"*N(C1(=O))C(=O)C(=C2)C1=CC(C3(=O))=C2C(=O)N3CCCN(C4(=O))C(=O)C(=C5)C4=CC(C6(=O))=C5C(=O)N6C(C)COC(C)*",3.33,4.39,NA,NA,1.93,-6.51,NA,1.38,6.21,2.37,NA,0.01,NA,337,622,24.4,NA,NA,NA,NA,NA,NA
20021,"*N(C1(=O))C(=O)C(=C2)C1=CC(C3(=O))=C2C(=O)N3CCCN(C4(=O))C(=O)C(=C5)C4=CC(C6(=O))=C5C(=O)N6C(C)COCCOCCOC(C)COCC(C)*",3.83,3.87,NA,NA,1.78,-6.12,NA,1.29,5.93,1.88,NA,0,NA,328,623,24.27,NA,NA,NA,NA,NA,NA
20022,"*N(C1(=O))C(=O)C(=C2)C1=CC(C3(=O))=C2C(=O)N3CCCN(C4(=O))C(=O)C(=C5)C4=CC(C6(=O))=C5C(=O)N6C(C)COC(C)*",3.33,4.39,NA,NA,1.93,-6.51,NA,1.38,6.21,2.37,NA,0.01,NA,337,651,24.4,NA,NA,NA,NA,NA,NA
20027,"*NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C)COCCOC(C)COCC(C)*",4.33,3.83,NA,NA,1.79,-5.5,NA,1.22,5.45,1.15,NA,0.01,NA,350,567,21.27,NA,NA,NA,NA,NA,NA
20029,"*NC(=O)NC(C=C1)=C(C)C=C1NC(=O)NCC*",4.4,4.1,NA,NA,1.81,-5.92,NA,1.33,5.29,0.76,NA,0.01,515,444,519,23.38,NA,NA,NA,NA,NA,NA
20030,"*NC(=O)NC(C=C1)=C(C)C=C1NC(=O)NCC(C)*",4.56,3.96,NA,NA,1.79,-5.86,NA,1.3,5.43,0.79,NA,0.01,501,443,507,23.22,NA,NA,NA,NA,NA,NA
20031,"*NC(=O)NC(C=C1)=C(C)C=C1NC(=O)NCCC*",4.57,3.98,NA,NA,1.79,-5.86,NA,1.3,5.39,0.7,NA,0.02,507,438,500,23.3,NA,NA,NA,NA,NA,NA
20032,"*NC(=O)NC(C=C1)=C(C)C=C1NC(=O)NCCCCCC*",4.98,3.72,NA,NA,1.75,-5.72,NA,1.22,5.62,0.6,NA,0.03,497,407,536,22.94,NA,NA,NA,NA,NA,NA
20033,"*NC(=O)NC(C=C1)=C(C)C=C1NC(=O)NCCOCC*",4.65,3.92,NA,NA,1.77,-5.8,NA,1.29,5.28,0.7,NA,0.04,474,403,537,23.91,NA,NA,NA,NA,NA,NA
20034,"*OC(=O)NC(C=C1)=C(C)C=C1NC(=O)OCC*",4.38,4.05,NA,NA,1.83,-5.96,NA,1.39,5.47,0.95,NA,0.01,NA,381,510,20.68,NA,NA,NA,NA,NA,NA
20035,"*OC(=O)NC(C=C1)=C(C)C=C1NC(=O)OCC(C)*",4.56,3.88,NA,NA,1.81,-5.89,NA,1.35,5.63,0.92,NA,0.02,NA,380,524,20.58,NA,NA,NA,NA,NA,NA
20036,"*OC(=O)NC(C=C1)=C(C)C=C1NC(=O)OCCC*",4.54,3.92,NA,NA,1.81,-5.89,NA,1.35,5.45,0.86,NA,0.01,488,372,524,20.63,NA,NA,NA,NA,NA,NA
20037,"*OC(=O)NC(C=C1)=C(C)C=C1NC(=O)OCCCCCC*",4.9,3.66,NA,NA,1.76,-5.73,NA,1.26,5.69,0.71,NA,0.02,486,344,550,20.39,NA,NA,NA,NA,NA,NA
